					
959	Je la nomo de Allah, la Donema, la Pardo- nema.	1	1	1	
960	Estu laŭdegata Allah, Sinjoro de 1’ Uni- verso,	2	1	2	
961	la Donema, la Pardonema,	3	1	3	
962	Majstro de la tago de la Lasta Juĝo.	4	1	4	
963	Nur Vin ni adoras kaj nur ĉe Vi ni ser- ĉas helpon.	5	1	5	
964	Gvidu nin sur la rektan vojon,	6	1	6	
965	sur la vojon de tiuj, al kiuj Vi donis Vian gracon, kiuj ne meritis Vian koleron, kiuj ne eraris.	7	1	7	
969	Je la nomo de Allah, la Donema, la Pardo- nema.	1	2	1	
970	Alef Lam Mim.\[3\] \[4\]	2	2	2	
971	Ci tiu estas la Libro, en kiu ne estas du- bo, gvidilo por la justuloj,	3	2	3	
972	por tiuj, kiuj kredas je la Nevideblaĵoj kaj levas la preĝon kaj distribuas almo- zojn el tio, kion Ni donacis al ili,	4	2	4	
973	por tiuj, kiuj kredas je tio, kio estis re- velaciita al vi, kaj je tio, kio estis revela- ciita antaŭ vi, kaj firme kredas al la vi- vo venonta.	5	2	5	
974	Por ili estos la gvidado de ilia Sinjoro kaj ili estos sukcesaj.	6	2	6	
975	Vere tiuj, kiuj ne kredas - kaj por ili estas egale, ĉu vi ilin admonas aŭ ne ad- monas - ili ne volas kredi;	7	2	7	
976	Allah sigelis iliajn korojn kaj iliajn ore-	8	2	8	
978	lojn kaj dika vualo kovras iliajn okulojn ; por ili estos terura		2	9	
979	turmento.		2	10	
981	Inter la homoj estas iuj, kiuj diras: ”Ni kredas je Allah kaj al la Tago de la Juĝo”, sed tamen ne estas kredantoj;	1	2	11	
982	ili volus trompi Allahon kaj la kre- dantojn, sed ili ne sukcesas trompi iun alian ol sin mem; ili tamen ne konscias tion;	2	2	12	
983	en iliaj koroj estas malsano, kaj Allah pliigis tiun malsanon, kaj por ili estos do- lora puno, ĉar ili mensogadis.	3	2	13	
984	Kiam estas dirite al ili: ”Ne estigu malpacon sur la tero”, ili respondas: ”Male, ni estas pacemuloj\! ”.	4	2	14	
985	Aŭskultu\! Vere ili estas malpace- muloj, sed ili ne konscias tion.	5	2	15	
986	Kiam estas dirite al ili: ”Kredu vi, kiel jam aliaj kredis\! ”, ili respondas: ”Cu ni kredu kiel la stultuloj? ”. Aŭ- skultu\! Vere ili mem estas stultuloj, sed ili ne scias tion.	6	2	16	
987	Kiam ili renkontas la kredantojn, ili diras: ”Ni kredas”, sed kiam ili ka- ŝe kunvenas kun siaj delogistoj, ili di- ras: ”Vere ni estas kun vi, vere ni nur mokadis”.	7	2	17	
988	Allah repagos ilin pro ilia mokado kaj lasos ilin progresi je ilia malpiegeco; ili vagados kiel blinduloj.	8	2	18	
989	Estas ili tiuj, kiuj aĉetis eraradon kontraŭ gvidado, sed tiu komerco ne havigis al ili iun ajn profiton, ili certe ne estas gvidataj.	9	2	19	
990	Ili similas al homo, kiu ekbruligis fajron: kiam ĝi ĉirkaŭe ĉion eklumigas, Allah forprenas ilian lumon kaj lasas ilin en la mallumo; ili nenion vidas:	10	2	20	
991	surdaj, mutaj, blindaj; ili ne revenos.	11	2	21	
992	Aŭ alie: kiel pluvego el la nuboj; en ĝi estas mallumo kaj tondro kaj fulmo;	12	2	22	
994	ili metas siajn fingrojn en siajn orelojn pro la fulmofrapo kaj timas la		2	23	
995	morton; Allah ĉirkaŭas la miskredantojn.		2	24	
